invoice,group_itemDescription
1017_092015,"{'energy drinks', 'sugary', 'bags'}"
1017_102014,"{'grains', 'pet care'}"
1018_012014,"{'dairy', 'grains'}"
1018_042014,"{'other drinks', 'other foods'}"
1018_052014,"{'fruit', 'sugary'}"
1018_052015,"{'vegetables', 'milk'}"
1019_102014,"{'meats', 'alcohol'}"
1020_072014,"{'meats', 'dairy', 'others'}"
1020_102015,"{'meats', 'alcohol', 'seasoning', 'other item'}"
1020_122014,"{'alcohol', 'bags'}"
1021_052014,{'dairy'}
1021_072015,"{'seasoning', 'other item'}"
1021_102015,"{'dairy', 'fruit', 'alcohol'}"
1022_022014,"{'others', 'other item'}"
1022_032014,"{'milk', 'other foods'}"
1022_072014,"{'juice', 'meats'}"
1023_052014,"{'meats', 'dairy', 'cosmetics'}"
1023_062014,"{'energy drinks', 'other foods'}"
1023_062015,"{'vegetables', 'grains', 'alcohol', 'other foods', 'other item', 'dairy', 'fruit'}"
1023_122014,"{'meats', 'sugary', 'other foods'}"
1024_102015,"{'meats', 'vegetables', 'fruit'}"
1025_062014,"{'energy drinks', 'bags'}"
1025_082015,"{'alcohol', 'milk'}"
1025_102014,"{'meats', 'dairy'}"
1026_032015,"{'sugary', 'other foods', 'juice', 'cosmetics', 'dairy'}"
1026_052015,"{'vegetables', 'alcohol', 'other foods'}"
1026_062014,"{'vegetables', 'grains'}"
1026_082014,"{'vegetables', 'sugary', 'other item', 'meats', 'dairy', 'fruit'}"
1027_022015,"{'alcohol', 'other item'}"
1027_052014,"{'chemistry products', 'milk', 'seasoning'}"
1027_052015,{'meats'}
1027_092014,"{'water', 'other item'}"
1028_022015,"{'vegetables', 'alcohol', 'other foods'}"
1028_042014,"{'vegetables', 'water', 'seasoning', 'other item'}"
1028_052014,"{'seasoning', 'other item'}"
1028_102014,"{'energy drinks', 'dairy'}"
1028_112015,"{'vegetables', 'sugary'}"
1029_032015,"{'meats', 'sugary'}"
1031_042014,"{'others', 'sugary'}"
1031_082015,"{'dairy', 'other drinks'}"
1031_102015,"{'vegetables', 'fruit'}"
1032_012014,"{'others', 'other foods'}"
1032_062015,"{'energy drinks', 'vegetables', 'grains', 'dairy', 'fruit'}"
1032_072015,"{'sugary', 'other foods'}"
1032_082015,"{'dairy', 'vegetables'}"
1032_092014,"{'bags', 'grains', 'milk'}"
1033_022014,"{'meats', 'grains'}"
1033_042014,"{'sugary', 'other foods', 'juice', 'other item', 'meats'}"
1033_042015,"{'energy drinks', 'fruit', 'other item'}"
1033_062015,"{'meats', 'grains'}"
1034_022014,"{'dairy', 'fruit', 'pet care', 'bags'}"
1034_042014,"{'meats', 'water', 'other foods'}"
1034_052014,"{'fruit', 'others'}"
1035_042015,"{'dairy', 'milk', 'other item'}"
1035_052015,"{'meats', 'vegetables'}"
1035_062014,"{'vegetables', 'milk'}"
1035_082014,"{'grains', 'fruit', 'alcohol', 'seasoning'}"
1035_082015,"{'milk', 'others'}"
1036_012014,"{'juice', 'seasoning'}"
1037_022014,"{'fruit', 'grains', 'other item'}"
1037_062014,"{'fruit', 'sugary', 'bags'}"
1037_122015,"{'meats', 'dairy', 'alcohol'}"
1038_012014,"{'others', 'other foods'}"
1038_022015,"{'other foods', 'juice', 'meats', 'dairy', 'fruit', 'milk'}"
1038_042015,"{'meats', 'fruit', 'seasoning'}"
1038_102015,"{'vegetables', 'sugary'}"
1038_122015,"{'dairy', 'sugary', 'other foods'}"
1039_052015,"{'other item', 'other foods'}"
1040_032014,"{'grains', 'milk', 'other item'}"
1040_062014,"{'dairy', 'other item'}"
1040_102014,"{'vegetables', 'grains'}"
1040_112015,"{'meats', 'fruit', 'vegetables', 'other foods'}"
1041_022015,"{'meats', 'dairy'}"
1041_062014,"{'vegetables', 'grains', 'sugary', 'meats', 'fruit', 'milk'}"
1041_072014,"{'alcohol', 'sugary'}"
1042_052015,"{'fruit', 'water'}"
1042_102015,"{'vegetables', 'milk'}"
1042_122015,"{'sugary', 'other item'}"
1043_032014,"{'dairy', 'fruit'}"
1043_062014,"{'others', 'sugary', 'milk'}"
1043_102015,"{'fruit', 'milk', 'other item'}"
1044_092015,"{'fruit', 'vegetables'}"
1044_102015,"{'dairy', 'vegetables'}"
1045_102014,"{'juice', 'sugary', 'other foods'}"
1045_112015,"{'meats', 'vegetables'}"
1045_122014,"{'dairy', 'vegetables'}"
1046_062015,"{'meats', 'grains', 'milk', 'water'}"
1047_042015,"{'dairy', 'energy drinks'}"
1047_092015,"{'dairy', 'sugary'}"
1047_122014,"{'energy drinks', 'fruit'}"
1048_062015,"{'energy drinks', 'milk', 'other item'}"
1048_102015,"{'fruit', 'other item'}"
1049_012015,"{'dairy', 'milk'}"
1049_042015,"{'grains', 'sugary'}"
1049_052015,"{'meats', 'seasoning'}"
1049_072014,"{'sugary', 'other foods'}"
1050_022014,"{'grains', 'other drinks'}"
1050_042015,"{'meats', 'milk'}"
1050_052014,"{'dairy', 'grains', 'pet care'}"
1050_062014,"{'dairy', 'house facilities'}"
1050_102014,"{'cosmetics', 'other foods'}"
1050_122014,"{'vegetables', 'milk', 'others'}"
1051_012014,"{'meats', 'alcohol'}"
1051_092014,"{'meats', 'energy drinks', 'vegetables'}"
1051_102015,"{'meats', 'dairy', 'fruit', 'alcohol'}"
1051_122014,{'bags'}
1051_122015,"{'energy drinks', 'vegetables', 'sugary', 'cosmetics', 'other item', 'meats', 'fruit', 'others'}"
1052_012014,"{'vegetables', 'fruit'}"
1052_032014,"{'meats', 'energy drinks', 'other drinks'}"
1052_042014,"{'bags', 'other item'}"
1052_052014,"{'meats', 'energy drinks'}"
1052_052015,"{'meats', 'other foods'}"
1052_062015,"{'dairy', 'milk', 'other foods'}"
1052_092014,"{'dairy', 'pet care'}"
1052_102014,"{'energy drinks', 'milk'}"
1052_102015,"{'vegetables', 'meats', 'dairy', 'chemistry products', 'bags'}"
1052_112014,"{'water', 'sugary'}"
1053_042014,{'energy drinks'}
1053_052014,"{'vegetables', 'grains', 'seasoning', 'other item', 'meats', 'milk'}"
1053_092015,"{'meats', 'grains'}"
1053_102014,"{'vegetables', 'milk'}"
1054_012014,"{'juice', 'energy drinks'}"
1054_022015,"{'alcohol', 'other item'}"
1054_042015,"{'meats', 'fruit', 'other foods'}"
1054_102015,"{'vegetables', 'others'}"
1055_052014,"{'meats', 'alcohol'}"
1055_052015,"{'dairy', 'energy drinks', 'others', 'water'}"
1056_092014,"{'meats', 'milk'}"
1056_092015,"{'meats', 'fruit', 'vegetables', 'other foods'}"
1057_052014,"{'vegetables', 'other foods'}"
1057_062014,"{'energy drinks', 'dairy', 'other foods'}"
1057_082014,"{'fruit', 'milk'}"
1058_052014,"{'meats', 'vegetables'}"
1058_062015,"{'meats', 'water'}"
1058_072014,"{'dairy', 'vegetables'}"
1058_102015,{'vegetables'}
1059_062014,"{'meats', 'bags', 'other foods'}"
1059_112014,"{'dairy', 'sugary'}"
1061_032014,"{'juice', 'energy drinks', 'alcohol'}"
1061_052014,"{'sugary', 'other item'}"
1061_052015,"{'fruit', 'milk', 'vegetables', 'other foods'}"
1061_072014,"{'dairy', 'other foods'}"
1061_102014,"{'other drinks', 'sugary'}"
1062_012014,"{'milk', 'seasoning'}"
1062_042015,"{'grains', 'fruit', 'milk', 'vegetables'}"
1062_072014,"{'meats', 'seasoning', 'other foods'}"
1062_082014,"{'fruit', 'grains'}"
1062_092015,"{'dairy', 'vegetables', 'milk', 'bags'}"
1063_012015,"{'sugary', 'other item'}"
1063_072014,"{'fruit', 'milk'}"
1064_032014,"{'vegetables', 'milk'}"
1064_042014,"{'dairy', 'other item'}"
1064_072015,"{'vegetables', 'grains'}"
1065_012014,"{'energy drinks', 'grains', 'alcohol', 'meats', 'fruit', 'milk'}"
1065_052014,"{'fruit', 'other item'}"
1065_102015,"{'sugary', 'other item'}"
1065_112015,"{'meats', 'fruit'}"
1065_122014,"{'meats', 'alcohol'}"
1066_012014,"{'vegetables', 'alcohol'}"
1066_052014,"{'vegetables', 'milk'}"
1066_122014,"{'bags', 'other item'}"
1067_052015,"{'fruit', 'milk'}"
1067_072015,"{'energy drinks', 'fruit', 'sugary', 'other item'}"
1067_082015,{'meats'}
1068_012015,"{'meats', 'dairy'}"
1068_082014,"{'energy drinks', 'dairy'}"
1069_012014,"{'meats', 'other item'}"
1069_052014,"{'juice', 'grains'}"
1069_082015,"{'dairy', 'fruit', 'alcohol', 'others'}"
1069_122014,"{'seasoning', 'other foods'}"
1070_052014,"{'dairy', 'others'}"
1070_102014,"{'fruit', 'alcohol'}"
1071_092014,"{'juice', 'dairy', 'other item'}"
1072_062014,"{'meats', 'vegetables'}"
1072_102015,"{'meats', 'alcohol'}"
1073_032014,"{'grains', 'seasoning'}"
1073_032015,"{'grains', 'others'}"
1073_052014,"{'dairy', 'water', 'other foods'}"
1073_082015,"{'dairy', 'fruit', 'alcohol'}"
1074_012014,"{'chemistry products', 'sugary'}"
1074_042014,"{'grains', 'seasoning'}"
1074_062015,"{'energy drinks', 'alcohol'}"
1074_082014,"{'bags', 'other item'}"
1074_102015,"{'juice', 'other foods'}"
1075_012015,"{'fruit', 'other item'}"
1075_062014,"{'meats', 'milk'}"
1075_072015,"{'meats', 'others'}"
1075_112015,"{'juice', 'meats', 'fruit', 'water'}"
1076_052015,"{'meats', 'dairy', 'water'}"
1076_102015,"{'meats', 'energy drinks', 'milk'}"
1076_122014,"{'meats', 'grains'}"
1076_122015,"{'meats', 'dairy', 'water'}"
1077_072014,"{'dairy', 'vegetables', 'grains'}"
1077_082014,"{'energy drinks', 'alcohol', 'seasoning', 'other item'}"
1077_092014,{'grains'}
1077_122014,"{'vegetables', 'other item'}"
1077_122015,"{'energy drinks', 'fruit'}"
1078_082014,"{'meats', 'energy drinks'}"
1078_102015,"{'energy drinks', 'grains', 'other item', 'meats', 'dairy'}"
1079_072014,"{'alcohol', 'water', 'sugary'}"
1079_092015,"{'vegetables', 'others', 'other item'}"
1080_022014,"{'energy drinks', 'alcohol'}"
1080_052015,"{'vegetables', 'pet care'}"
1081_012015,"{'fruit', 'milk'}"
1081_032015,"{'sugary', 'seasoning', 'alcohol', 'dairy', 'fruit'}"
1081_042015,"{'energy drinks', 'milk'}"
1081_062015,"{'vegetables', 'grains', 'meats', 'others', 'milk'}"
1081_112014,"{'dairy', 'other drinks'}"
1082_032014,"{'cosmetics', 'water'}"
1082_052014,"{'other foods', 'vegetables', 'other item'}"
1083_062015,"{'meats', 'dairy'}"
1083_072014,"{'energy drinks', 'chemistry products', 'sugary'}"
1083_112014,"{'meats', 'milk'}"
1084_042014,"{'fruit', 'vegetables'}"
1085_042014,"{'energy drinks', 'vegetables', 'bags'}"
1085_052014,"{'dairy', 'others'}"
1085_082015,"{'vegetables', 'fruit'}"
1086_072014,"{'energy drinks', 'other item'}"
1086_092014,"{'alcohol', 'seasoning', 'other foods'}"
1086_102014,"{'sugary', 'other foods'}"
1086_112015,"{'energy drinks', 'vegetables', 'dairy', 'other item'}"
1086_122015,"{'fruit', 'other item'}"
1087_022014,"{'meats', 'other drinks'}"
1087_032015,"{'meats', 'fruit', 'sugary'}"
1087_042014,{'milk'}
1087_062014,"{'grains', 'sugary'}"
1087_072014,"{'vegetables', 'milk'}"
1087_082015,"{'others', 'sugary', 'seasoning'}"
1087_102014,"{'meats', 'grains'}"
1087_112014,"{'energy drinks', 'fruit'}"
1087_122014,"{'energy drinks', 'sugary', 'other foods'}"
1088_012015,"{'dairy', 'fruit'}"
1088_092015,"{'dairy', 'milk'}"
1088_112015,"{'vegetables', 'seasoning', 'other foods', 'meats', 'fruit'}"
1089_052014,"{'dairy', 'seasoning'}"
1090_042015,"{'dairy', 'other item'}"
1090_082015,"{'grains', 'sugary', 'alcohol', 'meats', 'dairy', 'chemistry products', 'others'}"
1090_102015,"{'milk', 'sugary'}"
1092_032015,"{'others', 'bags'}"
1092_052015,"{'energy drinks', 'vegetables', 'sugary'}"
1092_072015,"{'water', 'alcohol', 'other foods', 'other item', 'meats', 'fruit'}"
1092_092015,"{'meats', 'vegetables', 'alcohol'}"
1092_102014,"{'dairy', 'others'}"
1093_032015,"{'sugary', 'other foods'}"
1094_052015,"{'energy drinks', 'fruit'}"
1094_072014,"{'grains', 'milk'}"
1094_072015,"{'meats', 'fruit', 'alcohol', 'vegetables'}"
1094_082014,"{'vegetables', 'others', 'sugary', 'other foods'}"
1094_082015,"{'meats', 'milk'}"
1094_112014,"{'grains', 'other foods', 'meats', 'chemistry products', 'milk'}"
1095_032014,"{'dairy', 'bags'}"
1095_062014,"{'vegetables', 'other foods'}"
1095_102015,"{'meats', 'water', 'other foods'}"
1096_072015,"{'juice', 'fruit'}"
1097_012015,"{'energy drinks', 'fruit', 'milk', 'dairy'}"
1097_032014,"{'vegetables', 'bags'}"
1097_042014,"{'meats', 'milk', 'sugary'}"
1097_092015,"{'meats', 'water', 'other foods'}"
1097_112014,"{'dairy', 'milk'}"
1097_122014,"{'dairy', 'bags', 'other foods'}"
1098_012015,"{'bags', 'pet care', 'other item'}"
1098_022014,"{'fruit', 'sugary'}"
1098_052015,"{'sugary', 'alcohol', 'meats', 'dairy', 'fruit', 'milk'}"
1098_072014,"{'fruit', 'sugary'}"
1098_072015,"{'alcohol', 'others', 'other item'}"
1098_092015,"{'vegetables', 'water', 'pet care'}"
1098_122015,"{'fruit', 'vegetables'}"
1099_072014,"{'fruit', 'grains'}"
1099_082014,"{'energy drinks', 'vegetables'}"
1099_082015,"{'meats', 'dairy'}"
1100_022014,"{'meats', 'grains'}"
1100_122014,"{'dairy', 'milk'}"
1100_122015,"{'energy drinks', 'seasoning', 'cosmetics', 'dairy', 'fruit', 'milk'}"
1101_072014,"{'dairy', 'milk'}"
1101_122014,"{'vegetables', 'grains', 'alcohol', 'other foods', 'other item'}"
1102_022014,{'vegetables'}
1102_042014,"{'alcohol', 'sugary'}"
1102_062015,"{'vegetables', 'grains', 'chemistry products'}"
1102_092014,"{'dairy', 'other drinks', 'grains'}"
1103_052014,"{'meats', 'grains', 'others'}"
1103_072014,"{'cosmetics', 'grains', 'other drinks'}"
1103_112014,"{'dairy', 'other foods'}"
1103_122014,"{'sugary', 'seasoning'}"
1104_032015,"{'dairy', 'other foods'}"
1104_042015,"{'dairy', 'vegetables', 'seasoning', 'other item'}"
1104_092014,"{'dairy', 'vegetables'}"
1104_102015,"{'meats', 'milk'}"
1105_052015,"{'dairy', 'fruit', 'milk', 'water'}"
1105_062014,"{'vegetables', 'grains'}"
1107_012015,"{'fruit', 'alcohol'}"
1107_032015,"{'meats', 'dairy', 'bags', 'other item'}"
1107_052014,"{'other foods', 'others', 'other item'}"
1107_062014,"{'vegetables', 'others'}"
1107_062015,"{'fruit', 'alcohol'}"
1107_072014,"{'grains', 'other item'}"
1107_082014,"{'grains', 'milk'}"
1107_092014,"{'other item', 'bags'}"
1108_052014,"{'fruit', 'alcohol', 'grains', 'other foods'}"
1108_062014,"{'dairy', 'vegetables'}"
1108_072015,"{'bags', 'grains', 'milk'}"
1108_082014,"{'grains', 'other item', 'other foods'}"
1109_062014,"{'milk', 'sugary'}"
1109_062015,"{'fruit', 'vegetables', 'other foods'}"
1109_102014,"{'dairy', 'fruit', 'seasoning', 'other foods'}"
1109_112014,"{'fruit', 'grains', 'other foods'}"
1110_052014,"{'dairy', 'other foods'}"
1110_092014,"{'vegetables', 'alcohol'}"
1110_092015,"{'meats', 'dairy'}"
1110_102014,"{'water', 'sugary'}"
1110_112014,"{'energy drinks', 'other foods'}"
1110_112015,"{'energy drinks', 'grains', 'seasoning', 'others', 'other foods', 'dairy', 'milk'}"
1111_032014,"{'energy drinks', 'vegetables', 'milk'}"
1111_072014,"{'vegetables', 'other foods'}"
1111_102014,"{'water', 'seasoning', 'other foods'}"
1111_112015,"{'grains', 'other item'}"
1112_092015,"{'others', 'sugary', 'house facilities'}"
1113_022014,"{'dairy', 'alcohol'}"
1113_032015,"{'meats', 'seasoning', 'other foods'}"
1113_052015,"{'alcohol', 'sugary', 'seasoning'}"
1113_072014,"{'dairy', 'milk', 'others'}"
1114_042014,"{'vegetables', 'grains', 'sugary', 'other foods', 'bags'}"
1114_042015,"{'meats', 'bags'}"
1114_102015,"{'grains', 'alcohol', 'milk'}"
1114_122014,"{'vegetables', 'fruit'}"
1114_122015,"{'meats', 'bags', 'sugary', 'pet care'}"
1115_012015,"{'dairy', 'vegetables'}"
1115_032014,"{'dairy', 'vegetables'}"
1115_072014,"{'meats', 'vegetables'}"
1115_092014,"{'dairy', 'other foods'}"
1116_012015,"{'dairy', 'vegetables', 'alcohol', 'others'}"
1116_062014,"{'energy drinks', 'vegetables', 'grains', 'others', 'milk'}"
1116_072015,"{'meats', 'water'}"
1116_082015,"{'grains', 'others', 'other drinks', 'other item'}"
1116_092014,"{'energy drinks', 'grains'}"
1116_112014,"{'vegetables', 'grains'}"
1116_112015,"{'meats', 'other item'}"
1117_052015,"{'meats', 'milk', 'other foods'}"
1118_022014,"{'dairy', 'vegetables', 'alcohol'}"
1118_052015,"{'dairy', 'vegetables', 'house facilities', 'other item'}"
1118_072014,"{'dairy', 'fruit', 'alcohol'}"
1118_072015,"{'meats', 'dairy'}"
1118_092014,"{'fruit', 'milk'}"
1118_122015,"{'dairy', 'cosmetics', 'milk', 'grains'}"
1119_042015,"{'fruit', 'milk'}"
1120_012015,"{'energy drinks', 'milk', 'others', 'grains'}"
1120_072015,"{'fruit', 'grains'}"
1120_082014,"{'fruit', 'seasoning'}"
1120_082015,"{'meats', 'vegetables'}"
1120_092015,"{'fruit', 'grains', 'sugary', 'milk'}"
1120_112015,"{'vegetables', 'sugary'}"
1121_032014,"{'energy drinks', 'bags'}"
1122_062015,{'vegetables'}
1122_092014,"{'meats', 'others'}"
1122_122015,"{'fruit', 'water'}"
1123_012015,"{'bags', 'vegetables', 'other item'}"
1123_092014,"{'dairy', 'other item'}"
1123_122014,"{'fruit', 'milk'}"
1123_122015,"{'meats', 'energy drinks', 'vegetables'}"
1124_052014,"{'cosmetics', 'alcohol'}"
1124_082014,"{'dairy', 'energy drinks'}"
1125_052014,"{'vegetables', 'other item', 'other foods'}"
1125_082015,"{'meats', 'grains'}"
1125_092014,"{'other foods', 'other item'}"
1125_112015,"{'fruit', 'sugary'}"
1125_122015,"{'milk', 'bags'}"
1126_022014,"{'other foods', 'other item'}"
1126_042015,"{'grains', 'alcohol', 'milk'}"
1126_052015,"{'meats', 'vegetables', 'others'}"
1127_012015,"{'meats', 'bags', 'other foods', 'other item'}"
1127_052014,"{'energy drinks', 'fruit'}"
1127_062014,"{'energy drinks', 'other item'}"
1127_102015,"{'dairy', 'vegetables', 'grains', 'milk'}"
1128_032014,"{'energy drinks', 'vegetables', 'sugary'}"
1128_042014,"{'alcohol', 'other foods'}"
1128_052015,"{'meats', 'energy drinks'}"
1128_102014,"{'meats', 'grains'}"
1129_012014,"{'milk', 'seasoning'}"
1129_042014,"{'alcohol', 'other foods'}"
1129_102014,"{'meats', 'fruit', 'other foods'}"
1129_112014,"{'grains', 'dairy', 'other drinks', 'bags'}"
1129_122014,"{'dairy', 'sugary'}"
1130_012014,"{'energy drinks', 'other foods'}"
1130_012015,"{'dairy', 'fruit'}"
1130_082014,"{'dairy', 'chemistry products'}"
1130_092015,"{'meats', 'vegetables', 'water', 'sugary'}"
1132_022015,"{'vegetables', 'grains', 'other foods', 'other item', 'bags'}"
1132_092015,"{'energy drinks', 'milk'}"
1132_112014,"{'alcohol', 'milk'}"
1133_022015,"{'meats', 'grains', 'other item'}"
1133_032014,"{'dairy', 'energy drinks', 'grains', 'bags'}"
1133_032015,"{'others', 'other foods', 'meats', 'dairy', 'milk'}"
1134_022014,"{'dairy', 'others'}"
1134_042014,"{'vegetables', 'other item'}"
1134_112014,"{'dairy', 'grains'}"
1135_022015,{'dairy'}
1135_042015,"{'vegetables', 'milk'}"
1135_102015,"{'energy drinks', 'sugary', 'meats', 'dairy', 'bags'}"
1136_022014,"{'fruit', 'other foods'}"
1136_032015,"{'grains', 'fruit', 'milk'}"
1136_042014,"{'juice', 'other item'}"
1136_052014,"{'energy drinks', 'bags'}"
1136_062015,"{'fruit', 'seasoning'}"
1136_072014,"{'vegetables', 'milk'}"
1136_092014,"{'fruit', 'vegetables'}"
1136_102015,"{'vegetables', 'other item'}"
1137_052014,"{'alcohol', 'other foods'}"
1137_092015,"{'vegetables', 'milk', 'seasoning'}"
1138_022015,"{'vegetables', 'milk', 'other item'}"
1138_072014,"{'fruit', 'others'}"
1139_012014,"{'dairy', 'fruit'}"
1139_012015,"{'fruit', 'alcohol'}"
1139_022014,"{'alcohol', 'grains', 'other item'}"
1139_102014,"{'meats', 'vegetables'}"
1140_012015,"{'vegetables', 'grains', 'meats', 'dairy', 'others'}"
1140_062015,"{'fruit', 'vegetables', 'bags'}"
1141_022014,"{'energy drinks', 'milk', 'other item'}"
1141_082014,"{'dairy', 'fruit', 'other item', 'pet care'}"
1141_122014,"{'fruit', 'grains'}"
1142_052014,"{'others', 'other foods'}"
1142_062015,"{'meats', 'grains'}"
1142_102014,"{'energy drinks', 'vegetables', 'others', 'other item'}"
1143_012015,"{'dairy', 'alcohol'}"
1143_042015,"{'energy drinks', 'milk', 'seasoning'}"
1143_072014,"{'energy drinks', 'milk'}"
1143_112014,"{'meats', 'energy drinks', 'vegetables', 'other item'}"
1144_012015,"{'energy drinks', 'grains', 'other foods', 'meats', 'milk'}"
1144_072014,"{'meats', 'other foods'}"
1144_082014,"{'energy drinks', 'vegetables'}"
1144_082015,"{'meats', 'alcohol'}"
1144_102015,"{'dairy', 'vegetables', 'grains'}"
1145_052014,"{'vegetables', 'grains'}"
1145_072015,"{'fruit', 'vegetables'}"
1145_092014,"{'energy drinks', 'alcohol'}"
1146_012014,{'dairy'}
1146_022014,"{'grains', 'vegetables', 'fruit'}"
1146_032014,"{'dairy', 'vegetables', 'fruit', 'sugary'}"
1146_052014,"{'dairy', 'energy drinks'}"
1146_112015,"{'alcohol', 'milk'}"
1146_122014,"{'grains', 'water', 'bags'}"
1146_122015,"{'meats', 'other foods'}"
1147_012014,"{'energy drinks', 'milk'}"
1147_042014,"{'meats', 'chemistry products'}"
1147_112014,"{'meats', 'sugary'}"
1148_012014,"{'energy drinks', 'vegetables', 'grains'}"
1148_012015,"{'meats', 'dairy'}"
1148_042015,"{'grains', 'seasoning', 'pet care', 'meats', 'dairy', 'milk', 'bags'}"
1148_092015,"{'meats', 'energy drinks', 'vegetables', 'fruit'}"
1149_062015,"{'meats', 'energy drinks', 'alcohol', 'dairy'}"
1149_122015,"{'dairy', 'vegetables', 'seasoning'}"
1150_042015,"{'juice', 'vegetables'}"
1150_052015,"{'alcohol', 'seasoning'}"
1150_062014,"{'milk', 'grains', 'water', 'other item'}"
1150_082014,{'fruit'}
1151_092015,"{'fruit', 'grains'}"
1151_122014,{'dairy'}
1152_042015,"{'meats', 'energy drinks'}"
1152_052015,"{'milk', 'other item'}"
1152_072015,"{'meats', 'other foods'}"
1152_122014,"{'dairy', 'energy drinks'}"
1153_022015,"{'dairy', 'sugary'}"
1153_032014,"{'fruit', 'alcohol', 'house facilities', 'other item'}"
1153_082014,"{'meats', 'sugary'}"
1153_082015,"{'fruit', 'milk'}"
1153_102014,"{'alcohol', 'milk', 'sugary', 'other foods'}"
1153_102015,"{'meats', 'dairy', 'seasoning'}"
1154_052014,"{'cosmetics', 'other item'}"
1154_052015,"{'meats', 'alcohol', 'fruit', 'milk'}"
1154_062015,{'vegetables'}
1155_012015,"{'meats', 'dairy', 'milk', 'pet care'}"
1155_102015,"{'milk', 'house facilities'}"
1155_122015,"{'meats', 'alcohol'}"
1156_092015,"{'fruit', 'vegetables'}"
1157_032014,"{'meats', 'dairy', 'other item'}"
1157_042014,"{'fruit', 'milk', 'others'}"
1158_022014,"{'milk', 'water'}"
1158_032015,"{'dairy', 'fruit'}"
1158_082015,"{'dairy', 'milk'}"
1158_102015,"{'dairy', 'vegetables', 'other item'}"
1159_012014,"{'fruit', 'others'}"
1159_062014,"{'vegetables', 'other foods'}"
1159_062015,"{'energy drinks', 'fruit'}"
1160_012015,"{'meats', 'bags'}"
1160_042014,"{'dairy', 'milk'}"
1160_042015,"{'dairy', 'sugary'}"
1160_062014,"{'vegetables', 'milk'}"
1160_082015,"{'energy drinks', 'alcohol', 'other item', 'other foods'}"
1160_112015,"{'fruit', 'seasoning'}"
1161_012014,"{'alcohol', 'others', 'other item'}"
1161_032015,"{'dairy', 'vegetables', 'milk'}"
1162_012014,"{'dairy', 'grains'}"
