invoice,itemDescription
1020_072014,"{'butter', 'newspapers', 'yogurt', 'frozen meals'}"
1020_102015,"{'spices', 'frozen fish', 'canned beer', 'rolls/buns'}"
1020_122014,"{'shopping bags', 'canned beer'}"
1021_052014,"{'butter', 'sliced cheese'}"
1021_072015,"{'baking powder', 'rolls/buns'}"
1021_102015,"{'curd', 'liquor', 'yogurt', 'tropical fruit'}"
1022_022014,"{'beef', 'napkins'}"
1022_032014,"{'whipped/sour cream', 'whole milk'}"
1022_072014,"{'fruit/vegetable juice', 'sausage'}"
1023_052014,"{'chicken', 'curd', 'male cosmetics', 'frozen meals'}"
1023_062014,"{'soda', 'domestic eggs'}"
1023_062015,"{'bottled beer', 'yogurt', 'packaged fruit/vegetables', 'root vegetables', 'berries', 'whipped/sour cream', 'rolls/buns', 'white bread'}"
1023_122014,"{'whipped/sour cream', 'specialty bar', 'sausage'}"
1024_102015,"{'tropical fruit', 'fish', 'other vegetables', 'root vegetables'}"
1025_062014,"{'coffee', 'shopping bags'}"
1025_082015,"{'canned beer', 'UHT-milk'}"
1025_102014,"{'ham', 'cream cheese '}"
1026_032015,"{'butter', 'dental care', 'salty snack', 'fruit/vegetable juice', 'candy'}"
1026_052015,"{'whipped/sour cream', 'canned beer', 'root vegetables'}"
1026_062014,"{'long life bakery product', 'root vegetables'}"
1026_082014,"{'yogurt', 'sausage', 'pickled vegetables', 'citrus fruit', 'rolls/buns', 'dessert'}"
1027_022015,"{'red/blush wine', 'rolls/buns'}"
1027_052014,"{'softener', 'whole milk', 'salt'}"
1027_052015,"{'pork', 'hamburger meat'}"
1027_092014,"{'bottled water', 'rolls/buns'}"
1028_022015,"{'onions', 'canned beer', 'flower (seeds)'}"
1028_042014,"{'bottled water', 'onions', 'baking powder', 'rolls/buns'}"
1028_052014,"{'rolls/buns', 'sugar'}"
1028_102014,"{'soda', 'butter'}"
1028_112015,"{'specialty chocolate', 'root vegetables'}"
1029_032015,"{'ham', 'dessert'}"
1031_042014,"{'ice cream', 'pot plants'}"
1031_082015,"{'cream cheese ', 'beverages'}"
1031_102015,"{'other vegetables', 'berries'}"
1032_012014,"{'whipped/sour cream', 'newspapers'}"
1032_062015,"{'soda', 'butter', 'berries', 'cream cheese ', 'white bread', 'other vegetables'}"
1032_072015,"{'whipped/sour cream', 'ice cream'}"
1032_082015,"{'yogurt', 'root vegetables'}"
1032_092014,"{'white bread', 'shopping bags', 'pastry', 'whole milk'}"
1033_022014,"{'frankfurter', 'pastry'}"
1033_042014,"{'sausage', 'snack products', 'rolls/buns', 'fruit/vegetable juice', 'dessert'}"
1033_042015,"{'soda', 'rolls/buns', 'tropical fruit'}"
1033_062015,"{'chicken', 'waffles'}"
1034_022014,"{'cling film/bags', 'yogurt', 'pip fruit', 'cat food'}"
1034_042014,"{'bottled water', 'frozen meals', 'domestic eggs'}"
1034_052014,"{'tropical fruit', 'newspapers'}"
1035_042015,"{'yogurt', 'rolls/buns', 'whole milk'}"
1035_052015,"{'frozen vegetables', 'sausage'}"
1035_062014,"{'frozen vegetables', 'whole milk'}"
1035_082014,"{'white bread', 'pip fruit', 'white wine', 'salt'}"
1035_082015,"{'whole milk', 'newspapers'}"
1036_012014,"{'fruit/vegetable juice', 'vinegar'}"
1037_022014,"{'white bread', 'rolls/buns', 'tropical fruit'}"
1037_062014,"{'shopping bags', 'cake bar', 'citrus fruit', 'chewing gum'}"
1037_122015,"{'frankfurter', 'yogurt', 'canned beer'}"
1038_012014,"{'margarine', 'napkins'}"
1038_022015,"{'pork', 'sausage', 'butter', 'pip fruit', 'whole milk', 'whipped/sour cream', 'fruit/vegetable juice'}"
1038_042015,"{'herbs', 'pip fruit', 'frozen meals'}"
1038_102015,"{'specialty chocolate', 'other vegetables'}"
1038_122015,"{'whipped/sour cream', 'Instant food products', 'cake bar', 'butter'}"
1039_052015,"{'salty snack', 'rolls/buns'}"
1040_032014,"{'rolls/buns', 'whole milk', 'pasta'}"
1040_062014,"{'yogurt', 'rolls/buns'}"
1040_102014,"{'white bread', 'root vegetables'}"
1040_112015,"{'packaged fruit/vegetables', 'chicken', 'onions', 'tropical fruit'}"
1041_022015,"{'yogurt', 'hamburger meat'}"
1041_062014,"{'frozen vegetables', 'chicken', 'brown bread', 'whole milk', 'candy', 'tropical fruit'}"
1041_072014,"{'dessert', 'prosecco'}"
1042_052015,"{'bottled water', 'citrus fruit'}"
1042_102015,"{'other vegetables', 'whole milk'}"
1042_122015,"{'dessert', 'beef'}"
1043_032014,"{'sliced cheese', 'tropical fruit'}"
1043_062014,"{'chocolate marshmallow', 'whole milk', 'napkins'}"
1043_102015,"{'whole milk', 'citrus fruit', 'rolls/buns'}"
1044_092015,"{'other vegetables', 'tropical fruit'}"
1044_102015,"{'curd', 'root vegetables'}"
1045_102014,"{'fruit/vegetable juice', 'specialty chocolate', 'Instant food products'}"
1045_112015,"{'chicken', 'onions'}"
1045_122014,"{'butter', 'yogurt', 'root vegetables'}"
1046_062015,"{'bottled water', 'pork', 'pastry', 'whole milk'}"
1047_042015,"{'soda', 'curd'}"
1047_092015,"{'butter', 'sweet spreads'}"
1047_122014,"{'soda', 'pip fruit'}"
1048_062015,"{'whole milk', 'soda', 'rolls/buns', 'condensed milk'}"
1048_102015,"{'tropical fruit', 'rolls/buns'}"
1049_012015,"{'butter', 'whole milk'}"
1049_042015,"{'white bread', 'candy'}"
1049_052015,"{'frankfurter', 'herbs'}"
1049_072014,"{'specialty bar', 'margarine'}"
1050_022014,"{'waffles', 'beverages'}"
1050_042015,"{'meat', 'whole milk'}"
1050_052014,"{'yogurt', 'cat food', 'pasta'}"
1050_062014,"{'house keeping products', 'yogurt'}"
1050_102014,"{'whipped/sour cream', 'hygiene articles'}"
1050_122014,"{'other vegetables', 'UHT-milk', 'dishes'}"
1051_012014,"{'bottled beer', 'hamburger meat'}"
1051_092014,"{'coffee', 'pork', 'frozen vegetables'}"
1051_102015,"{'red/blush wine', 'fish', 'cream cheese ', 'tropical fruit'}"
1051_122014,{'shopping bags'}
1051_122015,"{'soda', 'popcorn', 'female sanitary products', 'hamburger meat', 'dishes', 'rolls/buns', 'other vegetables', 'tropical fruit'}"
1052_012014,"{'grapes', 'root vegetables'}"
1052_032014,"{'coffee', 'chicken', 'beverages'}"
1052_042014,"{'shopping bags', 'beef'}"
1052_052014,"{'soda', 'hamburger meat'}"
1052_052015,"{'frankfurter', 'whipped/sour cream'}"
1052_062015,"{'butter milk', 'yogurt', 'margarine'}"
1052_092014,"{'butter', 'dog food'}"
1052_102014,"{'soda', 'whole milk'}"
1052_102015,"{'detergent', 'pork', 'yogurt', 'shopping bags', 'soft cheese', 'other vegetables'}"
1052_112014,"{'bottled water', 'chewing gum'}"
1053_042014,{'soda'}
1053_052014,"{'frozen vegetables', 'sugar', 'chicken', 'whole milk', 'rolls/buns', 'waffles'}"
1053_092015,"{'pastry', 'hamburger meat'}"
1053_102014,"{'other vegetables', 'whole milk'}"
1054_012014,"{'soda', 'fruit/vegetable juice'}"
1054_022015,"{'bottled beer', 'oil'}"
1054_042015,"{'frankfurter', 'margarine', 'citrus fruit'}"
1054_102015,"{'other vegetables', 'photo/film'}"
1055_052014,"{'pork', 'white wine'}"
1055_052015,"{'soda', 'bottled water', 'yogurt', 'newspapers'}"
1056_092014,"{'ham', 'whole milk'}"
1056_092015,"{'whipped/sour cream', 'meat spreads', 'pip fruit', 'other vegetables'}"
1057_052014,"{'pickled vegetables', 'salty snack'}"
1057_062014,"{'soda', 'domestic eggs', 'sliced cheese'}"
1057_082014,"{'UHT-milk', 'tropical fruit'}"
1058_052014,"{'chicken', 'other vegetables'}"
1058_062015,"{'bottled water', 'sausage'}"
1058_072014,"{'yogurt', 'root vegetables'}"
1058_102015,"{'other vegetables', 'root vegetables'}"
1059_062014,"{'salty snack', 'cling film/bags', 'sausage'}"
1059_112014,"{'dessert', 'spread cheese'}"
1061_032014,"{'soda', 'fruit/vegetable juice', 'bottled beer'}"
1061_052014,"{'chocolate', 'beef'}"
1061_052015,"{'margarine', 'root vegetables', 'Instant food products', 'whole milk', 'tropical fruit'}"
1061_072014,"{'whipped/sour cream', 'hard cheese'}"
1061_102014,"{'dessert', 'beverages'}"
1062_012014,"{'whole milk', 'sauces'}"
1062_042015,"{'whole milk', 'long life bakery product', 'other vegetables', 'tropical fruit'}"
1062_072014,"{'whipped/sour cream', 'ham', 'ketchup'}"
1062_082014,"{'white bread', 'frozen fruits'}"
1062_092015,"{'yogurt', 'shopping bags', 'butter', 'whole milk', 'other vegetables'}"
1063_012015,"{'candy', 'rolls/buns'}"
1063_072014,"{'citrus fruit', 'whole milk'}"
1064_032014,"{'whole milk', 'root vegetables'}"
1064_042014,"{'cream cheese ', 'rolls/buns'}"
1064_072015,"{'root vegetables', 'long life bakery product', 'other vegetables'}"
1065_012014,"{'soda', 'long life bakery product', 'hamburger meat', 'rum', 'whole milk', 'tropical fruit'}"
1065_052014,"{'rolls/buns', 'tropical fruit'}"
1065_102015,"{'dessert', 'beef'}"
1065_112015,"{'frankfurter', 'tropical fruit'}"
1065_122014,"{'red/blush wine', 'frozen fish'}"
1066_012014,"{'bottled beer', 'root vegetables'}"
1066_052014,"{'other vegetables', 'whole milk'}"
1066_122014,"{'shopping bags', 'oil'}"
1067_052015,"{'tropical fruit', 'whole milk'}"
1067_072015,"{'coffee', 'tropical fruit', 'chocolate', 'rolls/buns'}"
1067_082015,"{'pork', 'hamburger meat'}"
1068_012015,"{'pork', 'spread cheese'}"
1068_082014,"{'soda', 'yogurt'}"
1069_012014,"{'pork', 'rolls/buns'}"
1069_052014,"{'fruit/vegetable juice', 'brown bread'}"
1069_082015,"{'bottled beer', 'sliced cheese', 'tropical fruit', 'dishes'}"
1069_122014,"{'domestic eggs', 'salt'}"
1070_052014,"{'cream cheese ', 'newspapers'}"
1070_102014,"{'red/blush wine', 'citrus fruit'}"
1071_092014,"{'fruit/vegetable juice', 'yogurt', 'roll products '}"
1072_062014,"{'ham', 'other vegetables'}"
1072_102015,"{'frankfurter', 'canned beer'}"
1073_032014,"{'brown bread', 'salt'}"
1073_032015,"{'brown bread', 'finished products', 'dishes'}"
1073_052014,"{'bottled water', 'yogurt', 'domestic eggs'}"
1073_082015,"{'curd', 'pip fruit', 'prosecco'}"
1074_012014,"{'detergent', 'candy'}"
1074_042014,"{'semi-finished bread', 'ketchup'}"
1074_062015,"{'instant coffee', 'misc. beverages'}"
1074_082014,"{'shopping bags', 'oil'}"
1074_102015,"{'fruit/vegetable juice', 'flower (seeds)'}"
1075_012015,"{'pip fruit', 'rolls/buns'}"
1075_062014,"{'canned fish', 'UHT-milk'}"
1075_072015,"{'frankfurter', 'dishes', 'frozen meals'}"
1075_112015,"{'frankfurter', 'bottled water', 'fruit/vegetable juice', 'citrus fruit'}"
1076_052015,"{'frankfurter', 'chicken', 'butter', 'bottled water'}"
1076_102015,"{'coffee', 'ham', 'whole milk'}"
1076_122014,"{'brown bread', 'sausage'}"
1076_122015,"{'bottled water', 'butter', 'sausage'}"
1077_072014,"{'butter', 'other vegetables', 'pastry', 'pasta'}"
1077_082014,"{'artif. sweetener', 'canned beer', 'rolls/buns', 'soda'}"
1077_092014,"{'white bread', 'brown bread'}"
1077_122014,"{'root vegetables', 'rolls/buns'}"
1077_122015,"{'soda', 'tropical fruit'}"
1078_082014,"{'soda', 'chicken'}"
1078_102015,"{'frankfurter', 'curd', 'rolls/buns', 'white bread', 'coffee'}"
1079_072014,"{'bottled water', 'red/blush wine', 'sweet spreads'}"
1079_092015,"{'onions', 'rolls/buns', 'napkins'}"
1080_022014,"{'soda', 'canned beer'}"
1080_052015,"{'frozen vegetables', 'root vegetables', 'pet care'}"
1081_012015,"{'whole milk', 'tropical fruit'}"
1081_032015,"{'specialty bar', 'yogurt', 'bottled beer', 'baking powder', 'tropical fruit'}"
1081_042015,"{'coffee', 'butter milk'}"
1081_062015,"{'frankfurter', 'pastry', 'newspapers', 'whole milk', 'other vegetables'}"
1081_112014,"{'yogurt', 'beverages'}"
1082_032014,"{'bottled water', 'hygiene articles'}"
1082_052014,"{'margarine', 'beef', 'other vegetables'}"
1083_062015,"{'pork', 'sliced cheese'}"
1083_072014,"{'soda', 'specialty chocolate', 'bathroom cleaner'}"
1083_112014,"{'whole milk', 'hamburger meat'}"
1084_042014,"{'pip fruit', 'other vegetables'}"
1085_042014,"{'shopping bags', 'other vegetables', 'soda'}"
1085_052014,"{'yogurt', 'newspapers'}"
1085_082015,"{'citrus fruit', 'root vegetables'}"
1086_072014,"{'soda', 'rolls/buns'}"
1086_092014,"{'herbs', 'canned beer', 'margarine'}"
1086_102014,"{'whipped/sour cream', 'ice cream'}"
1086_112015,"{'soda', 'beef', 'butter', 'curd', 'other vegetables'}"
1086_122015,"{'citrus fruit', 'rolls/buns'}"
1087_022014,"{'sausage', 'beverages'}"
1087_032015,"{'chocolate', 'pip fruit', 'sausage'}"
1087_042014,{'whole milk'}
1087_062014,"{'white bread', 'specialty chocolate'}"
1087_072014,"{'other vegetables', 'whole milk'}"
1087_082015,"{'herbs', 'cake bar', 'pot plants'}"
1087_102014,"{'white bread', 'ham'}"
1087_112014,"{'coffee', 'berries'}"
1087_122014,"{'soda', 'flower (seeds)', 'jam'}"
1088_012015,"{'yogurt', 'berries'}"
1088_092015,"{'hard cheese', 'whole milk'}"
1088_112015,"{'baking powder', 'domestic eggs', 'meat', 'tropical fruit', 'other vegetables'}"
1089_052014,"{'yogurt', 'sauces'}"
1090_042015,"{'yogurt', 'beef'}"
1090_082015,"{'detergent', 'yogurt', 'sausage', 'pastry', 'specialty chocolate', 'dishes', 'whisky', 'napkins'}"
1090_102015,"{'ice cream', 'whole milk'}"
1092_032015,"{'shopping bags', 'photo/film'}"
1092_052015,"{'soda', 'specialty bar', 'frozen vegetables', 'root vegetables', 'other vegetables'}"
1092_072015,"{'bottled beer', 'sausage', 'grapes', 'bottled water', 'salty snack', 'Instant food products', 'rolls/buns', 'domestic eggs'}"
1092_092015,"{'frankfurter', 'bottled beer', 'other vegetables'}"
1092_102014,"{'yogurt', 'newspapers'}"
1093_032015,"{'domestic eggs', 'dessert'}"
1094_052015,"{'soda', 'tropical fruit'}"
1094_072014,"{'waffles', 'whole milk', 'pasta'}"
1094_072015,"{'tropical fruit', 'root vegetables', 'misc. beverages', 'sausage'}"
1094_082014,"{'chocolate marshmallow', 'salty snack', 'other vegetables', 'newspapers'}"
1094_082015,"{'whole milk', 'sausage'}"
1094_112014,"{'detergent', 'hamburger meat', 'flour', 'brown bread', 'whole milk'}"
1095_032014,"{'shopping bags', 'yogurt'}"
1095_062014,"{'flour', 'pickled vegetables'}"
1095_102015,"{'bottled water', 'pork', 'packaged fruit/vegetables', 'domestic eggs'}"
1096_072015,"{'fruit/vegetable juice', 'pip fruit'}"
1097_012015,"{'whole milk', 'curd', 'tropical fruit', 'soda'}"
1097_032014,"{'shopping bags', 'root vegetables'}"
1097_042014,"{'whole milk', 'cake bar', 'sausage'}"
1097_092015,"{'frankfurter', 'bottled water', 'whipped/sour cream'}"
1097_112014,"{'hard cheese', 'whole milk'}"
1097_122014,"{'whipped/sour cream', 'shopping bags', 'curd'}"
1098_012015,"{'shopping bags', 'cat food', 'rolls/buns'}"
1098_022014,"{'dessert', 'citrus fruit'}"
1098_052015,"{'frankfurter', 'yogurt', 'hard cheese', 'specialty chocolate', 'citrus fruit', 'canned beer', 'whole milk', 'tropical fruit'}"
1098_072014,"{'candy', 'tropical fruit'}"
1098_072015,"{'canned beer', 'rolls/buns', 'napkins'}"
1098_092015,"{'bottled water', 'frozen vegetables', 'cat food', 'root vegetables'}"
1098_122015,"{'grapes', 'other vegetables'}"
1099_072014,"{'brown bread', 'pip fruit'}"
1099_082014,"{'instant coffee', 'root vegetables'}"
1099_082015,"{'pork', 'spread cheese'}"
1100_022014,"{'pasta', 'hamburger meat'}"
1100_122014,"{'yogurt', 'whole milk'}"
1100_122015,"{'soda', 'butter milk', 'pudding powder', 'grapes', 'butter', 'hygiene articles'}"
1101_072014,"{'processed cheese', 'whole milk'}"
1101_122014,"{'sparkling wine', 'brown bread', 'rolls/buns', 'whipped/sour cream', 'other vegetables'}"
1102_022014,"{'frozen vegetables', 'root vegetables'}"
1102_042014,"{'candy', 'white wine'}"
1102_062015,"{'white bread', 'detergent', 'other vegetables'}"
1102_092014,"{'brown bread', 'yogurt', 'beverages'}"
1103_052014,"{'chicken', 'candles', 'pastry'}"
1103_072014,"{'tea', 'hygiene articles', 'waffles'}"
1103_112014,"{'yogurt', 'cream'}"
1103_122014,"{'herbs', 'ice cream'}"
1104_032015,"{'domestic eggs', 'yogurt'}"
1104_042015,"{'herbs', 'yogurt', 'other vegetables', 'rolls/buns'}"
1104_092014,"{'yogurt', 'root vegetables'}"
1104_102015,"{'pork', 'whole milk'}"
1105_052015,"{'whole milk', 'bottled water', 'yogurt', 'tropical fruit'}"
1105_062014,"{'white bread', 'other vegetables'}"
1107_012015,"{'citrus fruit', 'misc. beverages'}"
1107_032015,"{'liver loaf', 'shopping bags', 'chicken', 'rolls/buns', 'spread cheese'}"
1107_052014,"{'specialty fat', 'beef', 'newspapers'}"
1107_062014,"{'onions', 'newspapers'}"
1107_062015,"{'citrus fruit', 'misc. beverages'}"
1107_072014,"{'semi-finished bread', 'rolls/buns'}"
1107_082014,"{'pastry', 'whole milk'}"
1107_092014,"{'shopping bags', 'rolls/buns'}"
1108_052014,"{'whipped/sour cream', 'canned beer', 'grapes', 'pastry'}"
1108_062014,"{'frozen potato products', 'specialty cheese'}"
1108_072015,"{'shopping bags', 'brown bread', 'whole milk'}"
1108_082014,"{'salty snack', 'oil', 'pastry'}"
1109_062014,"{'chocolate', 'whole milk'}"
1109_062015,"{'margarine', 'citrus fruit', 'frozen vegetables'}"
1109_102014,"{'curd', 'pip fruit', 'margarine', 'sugar'}"
1109_112014,"{'salty snack', 'pip fruit', 'pastry'}"
1110_052014,"{'yogurt', 'margarine'}"
1110_092014,"{'pickled vegetables', 'liquor'}"
1110_092015,"{'yogurt', 'ham'}"
1110_102014,"{'chocolate', 'bottled water'}"
1110_112014,"{'soda', 'salty snack'}"
1110_112015,"{'soda', 'margarine', 'baking powder', 'pastry', 'butter', 'curd', 'dishes', 'whole milk'}"
1111_032014,"{'soda', 'frozen vegetables', 'UHT-milk', 'whole milk'}"
1111_072014,"{'whipped/sour cream', 'other vegetables'}"
1111_102014,"{'flour', 'bottled water', 'sugar'}"
1111_112015,"{'semi-finished bread', 'beef'}"
1112_092015,"{'ice cream', 'dish cleaner', 'jam', 'newspapers'}"
1113_022014,"{'curd', 'canned beer'}"
1113_032015,"{'domestic eggs', 'pork', 'pudding powder'}"
1113_052015,"{'specialty bar', 'bottled beer', 'baking powder'}"
1113_072014,"{'yogurt', 'whole milk', 'newspapers'}"
1114_042014,"{'shopping bags', 'root vegetables', 'salty snack', 'brown bread', 'chocolate'}"
1114_042015,"{'shopping bags', 'chicken'}"
1114_102015,"{'white bread', 'misc. beverages', 'UHT-milk'}"
1114_122014,"{'citrus fruit', 'root vegetables'}"
1114_122015,"{'shopping bags', 'dessert', 'sausage', 'dog food'}"
1115_012015,"{'yogurt', 'other vegetables'}"
1115_032014,"{'butter', 'other vegetables'}"
1115_072014,"{'turkey', 'root vegetables'}"
1115_092014,"{'whipped/sour cream', 'yogurt'}"
1116_012015,"{'hard cheese', 'root vegetables', 'newspapers', 'liquor', 'cream cheese ', 'other vegetables'}"
1116_062014,"{'soda', 'butter milk', 'brown bread', 'canned vegetables', 'other vegetables', 'napkins'}"
1116_072015,"{'chicken', 'bottled water'}"
1116_082015,"{'white bread', 'beverages', 'rolls/buns', 'newspapers'}"
1116_092014,"{'soda', 'brown bread'}"
1116_112014,"{'other vegetables', 'zwieback'}"
1116_112015,"{'frankfurter', 'rolls/buns'}"
1117_052015,"{'whipped/sour cream', 'meat', 'whole milk'}"
1118_022014,"{'bottled beer', 'sliced cheese', 'frozen vegetables'}"
1118_052015,"{'pickled vegetables', 'house keeping products', 'curd', 'rolls/buns'}"
1118_072014,"{'processed cheese', 'canned beer', 'pip fruit'}"
1118_072015,"{'yogurt', 'ham'}"
1118_092014,"{'berries', 'condensed milk'}"
1118_122015,"{'hair spray', 'pastry', 'butter', 'whole milk'}"
1119_042015,"{'grapes', 'whole milk'}"
1120_012015,"{'soda', 'white bread', 'UHT-milk', 'newspapers'}"
1120_072015,"{'brown bread', 'citrus fruit'}"
1120_082014,"{'tropical fruit', 'sugar'}"
1120_082015,"{'meat', 'other vegetables'}"
1120_092015,"{'pastry', 'chocolate marshmallow', 'rice', 'tropical fruit', 'condensed milk'}"
1120_112015,"{'specialty bar', 'other vegetables'}"
1121_032014,"{'coffee', 'shopping bags'}"
1122_062015,"{'frozen vegetables', 'root vegetables'}"
1122_092014,"{'chicken', 'dishes'}"
1122_122015,"{'bottled water', 'citrus fruit'}"
1123_012015,"{'cling film/bags', 'rolls/buns', 'frozen vegetables'}"
1123_092014,"{'yogurt', 'oil', 'rolls/buns'}"
1123_122014,"{'pip fruit', 'whole milk'}"
1123_122015,"{'soda', 'pork', 'canned vegetables'}"
1124_052014,"{'hygiene articles', 'bottled beer'}"
1124_082014,"{'soda', 'yogurt'}"
1125_052014,"{'rolls/buns', 'margarine', 'root vegetables'}"
1125_082015,"{'pastry', 'sausage'}"
1125_092014,"{'margarine', 'rolls/buns'}"
1125_112015,"{'popcorn', 'citrus fruit'}"
1125_122015,"{'shopping bags', 'condensed milk'}"
1126_022014,"{'whipped/sour cream', 'rolls/buns'}"
1126_042015,"{'long life bakery product', 'misc. beverages', 'whole milk'}"
1126_052015,"{'pork', 'napkins', 'root vegetables', 'newspapers'}"
1127_012015,"{'frankfurter', 'shopping bags', 'margarine', 'rolls/buns'}"
1127_052014,"{'soda', 'citrus fruit'}"
1127_062014,"{'soda', 'roll products '}"
1127_102015,"{'UHT-milk', 'butter', 'other vegetables', 'pastry'}"
1128_032014,"{'soda', 'specialty bar', 'frozen vegetables'}"
1128_042014,"{'domestic eggs', 'liquor'}"
1128_052015,"{'coffee', 'meat'}"
1128_102014,"{'frankfurter', 'white bread'}"
1129_012014,"{'baking powder', 'whole milk'}"
1129_042014,"{'flower (seeds)', 'white wine'}"
1129_102014,"{'grapes', 'flower (seeds)', 'frozen meals'}"
1129_112014,"{'shopping bags', 'tea', 'yogurt', 'brown bread'}"
1129_122014,"{'specialty chocolate', 'cream cheese '}"
1130_012014,"{'soda', 'margarine'}"
1130_012015,"{'cream cheese ', 'tropical fruit'}"
1130_082014,"{'yogurt', 'softener'}"
1130_092015,"{'frankfurter', 'bottled water', 'dessert', 'root vegetables'}"
1132_022015,"{'shopping bags', 'semi-finished bread', 'salty snack', 'rolls/buns', 'other vegetables'}"
1132_092015,"{'soda', 'whole milk'}"
1132_112014,"{'bottled beer', 'whole milk'}"
1133_022015,"{'rolls/buns', 'rice', 'sausage'}"
1133_032014,"{'coffee', 'shopping bags', 'yogurt', 'pastry'}"
1133_032015,"{'pork', 'curd', 'whole milk', 'domestic eggs', 'napkins'}"
1134_022014,"{'cream cheese ', 'newspapers'}"
1134_042014,"{'other vegetables', 'oil'}"
1134_112014,"{'brown bread', 'yogurt', 'pastry'}"
1135_022015,"{'butter', 'hard cheese'}"
1135_042015,"{'other vegetables', 'whole milk'}"
